1;4;0.242397
1;5;3.74192
1;6;51.5637
1;7;679.974
1;8;9109.44
5;4;0.0210148
5;5;0.357958
5;6;4.65956
5;7;63.8255
5;8;855.334
5;9;11387.1
10;4;0.0113901
10;5;0.154329
10;6;2.11755
10;7;28.9508
10;8;383.943
10;9;5188.54
16;4;0.00531799
16;5;0.0948525
16;6;1.2712
16;7;16.8599
16;8;224.606
16;9;3004.42
20;4;0.00411922
20;5;0.0845925
20;6;0.953711
20;7;13.1543
20;8;174.299
20;9;2306.4
24;4;0.00340437
24;5;0.0679046
24;6;0.803407
24;7;10.4958
24;8;144.269
24;9;1897.68
34;4;0.00231183
34;5;0.0452001
34;6;0.540611
34;7;7.19692
34;8;96.434
34;9;1269.11
48;4;0.00893953
48;5;0.031142
48;6;0.362239
48;7;4.83092
48;8;65.6221
48;9;881.252

